"","Diametre","Statut"
"1",8,"codomina"
"2",15,"codomina"
"3",22,"codomina"
"4",20,"codomina"
"5",17,"codomina"
"6",21,"codomina"
"7",45,"codomina"
"8",31,"codomina"
"9",5,"codomina"
"10",50,"codomina"
"11",32,"codomina"
"12",29,"codomina"
"13",52,"codomina"
"14",39,"codomina"
"15",16,"codomina"
"16",55,"codomina"
"17",52,"codomina"
"18",8,"codomina"
"19",41,"codomina"
"20",54,"codomina"
"21",42,"codomina"
"22",13,"codomina"
"23",12.5,"codomina"
"24",16,"codomina"
"25",35,"codomina"
"26",11,"dominant"
"27",14,"dominant"
"28",18,"dominant"
"29",25,"dominant"
"30",20,"dominant"
"31",16,"dominant"
"32",25,"dominant"
"33",72,"dominant"
"34",41,"dominant"
"35",45,"dominant"
"36",53,"dominant"
"37",30,"dominant"
"38",52,"dominant"
"39",47,"dominant"
"40",58,"dominant"
"41",22,"domine"
"42",23,"domine"
"43",16,"domine"
"44",17,"domine"
"45",9,"domine"
"46",9,"domine"
"47",16,"domine"
"48",16,"domine"
"49",17,"domine"
"50",15,"domine"
"51",13,"domine"
"52",15,"domine"
"53",13,"domine"
"54",19,"domine"
"55",13,"domine"
"56",10,"domine"
"57",32,"domine"
"58",29,"domine"
"59",37,"domine"
"60",30,"domine"
"61",56,"domine"
"62",30,"domine"
"63",41,"domine"
"64",32,"domine"
"65",40,"domine"
"66",39,"domine"
"67",40,"domine"
"68",41,"domine"
"69",48,"domine"
"70",38,"domine"
"71",37,"domine"
"72",48,"domine"
"73",40,"domine"
"74",35,"domine"
"75",26,"domine"
"76",35,"domine"
"77",35,"domine"
"78",31,"domine"
"79",36,"domine"
"80",30,"domine"
"81",24,"domine"
"82",10,"domine"
"83",8,"domine"
"84",40,"domine"
"85",40,"domine"
"86",15,"domine"
"87",13,"domine"
"88",37,"domine"
"89",46,"domine"
"90",37,"domine"
"91",30,"domine"
"92",40,"domine"
"93",40,"domine"
"94",46,"domine"
"95",40,"domine"
"96",28,"domine"
"97",41,"domine"
"98",48,"domine"
"99",32,"domine"
"100",16,"domine"
"101",10,"domine"
"102",52,"domine"
"103",9,"domine"
"104",8,"domine"
